"Id_beroep";"Id_verb";"Beroep_letterlijk";"Beroep_vertaling";"Beroep_cat";"Gevangenis"
25739;25773;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25740;25774;"Ferblantier";"Blikslager";;"Gent"
25741;25775;"Cordonnier";"Schoenmaker";;"Gent"
25742;25776;"Chiffonniere";"Voddenman";;"Gent"
25743;25777;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25744;25778;"Aubergiste";"Herbergier";;"Gent"
25745;25779;"Ouvrier";"Arbeider";;"Gent"
25746;25780;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25747;25781;"Ouvriere";"Arbeidster";;"Gent"
25748;25782;"Journalier";"Dagloner";;"Gent"
25749;25783;"Journalier";"Dagloner";;"Gent"
25750;25784;"Tailleur";"Kleermaker";;"Gent"
25751;25785;"Ouvrier";"Arbeider";;"Gent"
25752;25786;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25753;25787;"Ramoneur";"Schoorsteenveger";;"Gent"
25754;25788;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25755;25789;"Ouvrier";"Arbeider";;"Gent"
25756;25790;"Journalier";"Dagloner";;"Gent"
25757;25791;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25758;25792;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25759;25793;"Journaliere";"Dagloner";;"Gent"
25760;25794;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25761;25795;"Journalier";"Dagloner";;"Gent"
25762;25796;"Journalier";"Dagloner";;"Gent"
25763;25797;"Journalier";"Dagloner";;"Gent"
25764;25798;"Ouvrier";"Arbeider";;"Gent"
25765;25799;"Peintre en batiments";"Schilder";;"Gent"
25766;25800;"Journaliere";"Dagloner";;"Gent"
25767;25801;"Ouvriere";"Arbeidster";;"Gent"
25768;25802;"Ouvrier chaudronnier";"Werknemer in de koperslagerij";;"Gent"
25769;25803;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25770;25804;"Tisserand";"Wever";;"Gent"
25771;25805;"Journalier";"Dagloner";;"Gent"
25772;25806;"Journalier";"Dagloner";;"Gent"
25773;25807;"Garcon batelier";"Binnenschippersknecht";;"Gent"
25774;25808;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25775;25809;"Hauilleur";"Loods";;"Gent"
25776;25810;"Journalier";"Dagloner";;"Gent"
