"Id_geboorteplaats";"Id_verbl";"Plaatsnaam_letterlijk";"Plaatsnaam_vertaling";"Gevangenis"
20391;20432;"Destelbergen";"Destelbergen";"Gent"
20392;20433;"Ypres";"Ieper";"Gent"
20393;20434;"Velzieghe";"Velzeke";"Gent"
20394;20435;"Velsique";"Velzeke";"Gent"
20395;20436;"Saffelaere";"Zaffelare";"Gent"
20396;20437;"Maldegem";"Maldegem";"Gent"
20397;20438;"Nevele";"Nevele";"Gent"
20398;20439;"Gand";"Gent";"Gent"
20399;20440;"Gand";"Gent";"Gent"
20400;20441;"Gand";"Gent";"Gent"
20401;20442;"Gand";"Gent";"Gent"
20402;20443;"Nazareth";"Nazareth";"Gent"
20403;20444;"Huysse";"Huise";"Gent"
20404;20445;"Gand";"Gent";"Gent"
20405;20446;"Gand";"Gent";"Gent"
20406;20447;"Mont St. Amand";"Sint-Amandsberg";"Gent"
20407;20448;"St. Denys Westrem";"Sint-Denijs-Westrem";"Gent"
20408;20449;"Mariakerke";"Mariakerke (Gent)";"Gent"
20409;20450;"Gand";"Gent";"Gent"
20410;20451;"Gand";"Gent";"Gent"
20411;20452;"Gand";"Gent";"Gent"
20412;20453;"Kemseke";"Kemseke";"Gent"
20413;20454;"Swevezeele";"Zwevezele";"Gent"
20414;20455;"Asper";"Asper";"Gent"
20415;20456;"Evergem";"Evergem";"Gent"
20416;20457;"Saffelaere";"Zaffelare";"Gent"
20417;20458;"Moerbeke";"Moerbeke";"Gent"
20418;20459;"Sinay";"Sinaai";"Gent"
20419;20460;"Berlaere";"Berlare";"Gent"
20420;20461;"Gand";"Gent";"Gent"
20421;20462;"Gand";"Gent";"Gent"
20422;20463;"seveneecken";"Zeveneken";"Gent"
20423;20464;"Somergem";"Zomergem";"Gent"
20424;20465;"Lille (Fr.)";"Frankrijk";"Gent"
20425;20466;"Gent";"Gent";"Gent"
20426;20467;"Tronchiennes";"Drongen";"Gent"
20427;20468;"Gand";"Gent";"Gent"
20428;20469;"Gand";"Gent";"Gent"
20429;20470;"Gand";"Gent";"Gent"
20430;20471;"Gand";"Gent";"Gent"
20431;20472;"Audenhove St. Marie";"Oudenhove";"Gent"
20432;20473;"Loochristy";"Lochristi";"Gent"
20433;20474;"Ledeberg";"Ledeberg";"Gent"
20434;20475;"Gand";"Gent";"Gent"
20435;20476;"Vynckt";"Vinkt";"Gent"
20436;20477;"Gand";"Gent";"Gent"
20437;20478;"Huysse";"Huise";"Gent"
20438;20479;"Gand";"Gent";"Gent"
20439;20480;"Gand";"Gent";"Gent"
20440;20481;"Aerschoot";"Aarschot";"Gent"
20441;20482;"Nazareth";"Nazareth";"Gent"
20442;20483;"Gand";"Gent";"Gent"
20443;20484;"Gand";"Gent";"Gent"
20444;20485;"Gand";"Gent";"Gent"
20445;20486;"Ledeberg";"Ledeberg";"Gent"
20446;20487;"Anvers";"Antwerpen";"Gent"
20447;20488;"Gand";"Gent";"Gent"
20448;20489;"Gand";"Gent";"Gent"
20449;20490;"Vurste";"Vurste";"Gent"
20450;20491;"Cluyssen";"Kluizen";"Gent"
20451;20492;"Cluysen";"Kluizen";"Gent"
20452;20493;"Gand";"Gent";"Gent"
20453;20494;"Gand";"Gent";"Gent"
20454;20495;"Oostacker";"Oostakker";"Gent"
20455;20496;"Gand";"Gent";"Gent"
20456;20497;"Synghem";"Zingem";"Gent"
20457;20498;"Eecloo";"Eeklo";"Gent"
20458;20499;"Gand";"Gent";"Gent"
20459;20500;"Mariakerke";"Mariakerke (Gent)";"Gent"
20460;20501;"Gand";"Gent";"Gent"
20461;20502;"Gand";"Gent";"Gent"
20462;20503;"Oost-Eecloo";"Oosteeklo";"Gent"
20463;20504;"Gand";"Gent";"Gent"
20464;20505;"Nockere";"Nokere";"Gent"
20465;20506;"Seyseele";"Sijsele";"Gent"
20466;20507;"Gand";"Gent";"Gent"
20467;20508;"Aeltre";"Aalter";"Gent"
20468;20509;"Gand";"Gent";"Gent"
20469;20510;"Lokeren";"Lokeren";"Gent"
20470;20511;"Gand";"Gent";"Gent"
20471;20512;"Audegem";"Oudegem";"Gent"
20472;20513;"Gand";"Gent";"Gent"
20473;20514;"Gand";"Gent";"Gent"
